"ev_takim","dep_takim","ev_sonuc","dep_sonuc","ev_topla_oynama","ev_ikili_mucadele_kazanma","ev_hava_topu","ev_pas_arasi","ev_ofsayt","ev_korner","dep_topla_oynama","dep_ikili_mucadele_kazanma","dep_hava_topu","dep_pas_arasi","dep_ofsayt","dep_korner","ev_pas","ev_uzun_pas","ev_pas_isabet","ev_rakip_yari_sahada_pas_isabeti","ev_orta","ev_orta_istabeti","dep_pas","dep_uzun_pas","dep_pas_isabet","dep_rakip_yari_sahada_pas_isabeti","dep_orta","dep_orta_istabeti","ev_gol","ev_sut","ev_isabetli_sut","ev_sut_engelleme","ev_ceza_sahasinin_disindan_sut","ev_ceza_sahasinin_icinden_sut","ev_sut_isabeti","dep_gol","dep_sut","dep_isabetli_sut","dep_sut_engelleme","dep_ceza_sahasi_disindan_sut","dep_ceza_sahasi_icinden_sut","dep_sut_isabeti","ev_top_kapma","ev_top_kapma_basarisi","ev_uzaklastirma","dep_top_kapma","dep_top_kapma_basarisi","dep_uzaklastirma","ev_faul","ev_sari_kart","ev_kirmizi_kart","dep_faul","dep_sari_kart","dep_kirmizi_kart"
"Kayserispor","BB Erzurumspor","0","2","%48,8","%51,6","%55,6","9","1","10","%51,2","%48,4","%44,4","15","4","4","469","46","%89,1","%72,5","26","%23,1","492","47","%89,2","%81,4","20","%10,0","0","20","7","6","7","13","%35,0","2","16","6","2","7","9","%37,5","16","%75,0","14","15","%73,3","16","9","0","1","9","0","0","2"
"Bursaspor","Antalyaspor","0","2","%68,8","%49,2","%64,4","7","0","9","%31,2","%50,8","%35,6","14","1","0","680","67","%88,2","%77,3","41","%29,3","315","71","%71,4","%55,6","7","%0,0","0","14","4","4","3","11","%28,6","2","6","3","0","2","4","%50,0","13","%46,2","9","14","%78,6","38","20","4","0","11","1","0","2"
"Kayserispor","Trabzonspor","0","2","%54,0","%48,3","%48,9","6","1","2","%46,0","%51,7","%51,1","3","0","5","408","70","%77,9","%63,7","23","%17,4","354","52","%75,4","%65,5","12","%16,7","0","7","2","1","4","3","%28,6","2","18","7","2","6","12","%38,9","10","%80,0","11","21","%66,7","17","15","5","0","16","1","0","2"
"Göztepe","Alanyaspor","3","2","%45,0","%52,2","%51,9","19","2","1","%55,0","%47,8","%48,1","17","3","5","353","72","%67,7","%62,1","9","%44,4","417","57","%76,3","%65,8","22","%31,8","3","14","7","1","5","9","%50,0","2","14","6","1","1","13","%42,9","23","%60,9","20","13","%76,9","18","13","6","1","14","4","0","1"
"Göztepe","Bursaspor","0","0","%43,8","%57,9","%56,1","14","3","3","%56,2","%42,1","%43,9","19","2","6","397","73","%70,3","%54,7","19","%15,8","512","87","%77,0","%61,0","17","%11,8","0","8","2","2","6","2","%25,0","0","6","3","0","2","4","%50,0","23","%30,4","27","14","%64,3","26","15","1","0","13","3","0","0"
"Alanyaspor","Kasımpaşa","3","0","%52,3","%54,3","%44,4","13","4","5","%47,7","%45,7","%55,6","15","7","6","458","53","%82,3","%77,0","20","%30,0","414","53","%82,6","%71,6","15","%26,7","3","19","9","2","6","13","%47,4","0","5","2","0","3","2","%40,0","24","%58,3","17","15","%66,7","14","16","3","0","16","2","1","1"
"Beşiktaş","BB Erzurumspor","1","1","%62,8","%43,9","%48,5","11","1","11","%37,2","%56,1","%51,5","9","0","2","504","40","%82,3","%66,8","36","%16,7","306","72","%68,3","%49,7","14","%21,4","1","15","5","3","5","10","%33,3","1","9","3","3","5","4","%33,3","14","%64,3","16","23","%65,2","41","15","4","1","14","4","0","0"
"Çaykur Rizespor","Sivasspor","0","0","%65,9","%49,1","%43,3","7","2","5","%34,1","%50,9","%56,7","7","1","2","673","52","%85,6","%78,1","28","%28,6","357","63","%71,1","%64,6","11","%36,4","0","23","6","6","12","11","%26,1","0","7","3","3","1","6","%42,9","14","%85,7","8","19","%47,4","26","10","1","0","11","3","0","0"
"Bursaspor","MKE Ankaragücü","1","0","%46,2","%53,1","%64,9","12","1","10","%53,8","%46,9","%35,1","17","0","5","356","58","%71,3","%62,5","18","%11,1","416","61","%73,6","%61,3","15","%26,7","1","13","5","3","6","7","%38,5","0","7","2","1","3","4","%28,6","18","%50,0","25","18","%55,6","22","19","1","0","11","0","0","1"
"Sivasspor","Kayserispor","1","3","%58,3","%51,4","%40,0","9","1","4","%41,7","%48,6","%60,0","6","2","4","471","55","%82,2","%73,5","26","%34,6","340","68","%72,9","%59,4","14","%28,6","1","17","8","4","7","10","%47,1","3","10","8","1","5","5","%80,0","14","%64,3","8","20","%55,0","21","14","2","0","14","3","0","2"
